Company,Market Share Gaming GPU (%),Market Share Data Center GPU (%),Annual Revenue (Billion USD),Product Lines,Performance Gaming (1-10),Performance AI/Compute (1-10),Power Efficiency (1-10),Innovation Focus,Target Markets,Strengths,Weaknesses,Recent Major Development
Xilinx,56.52,5.4,37.4,Alveo,3,3,7,High Performance Computing,IoT,Robust software support,Limited mobile presence,Launched new RTX 40 series
Qualcomm,71.56,34.57,38.4,"Kryo, Adreno, Snapdragon GPU",4,2,1,High Performance Computing,"Media & Entertainment, Data Center, IoT",High power efficiency,Complex integration,Released latest mobile GPU
MediaTek,165.28,32.19,35.28,Dimensity,1,10,4,VR/AR,AI/Compute,Robust software support,Inconsistent performance,Partnered with automotive leaders
Intel,90.56,48.52,11.34,"HD Graphics, Iris",2,1,2,Autonomous Vehicles,"Education, Media & Entertainment, Data Center, Consumer Electronics",Leading performance,Security vulnerabilities,Upgraded software development kits
Xilinx,76.4,37.48,12.53,"Alveo, Versal",2,8,2,AI Acceleration,"Education, Media & Entertainment",Strong brand recognition,Limited mobile presence,Introduced AI-focused GPUs
Marvell,38.5,5.82,38.32,"OCTEON, Alaska",2,5,3,Mobile Graphics,"Telecommunications, Enterprise, Mobile",Global market presence,Limited mobile presence,Launched new RTX 40 series
ARM,54.8,7.9,1.36,Ethos,1,3,1,Deep Learning,Financial Services,Scalable architectures,Smaller developer base,Upgraded software development kits
ARM,71.08,35.73,32.85,"Neoverse, Mali, Ethos",10,10,2,Mobile Graphics,"Media & Entertainment, Consumer Electronics",Cutting-edge technology,Complex integration,Announced new AI research lab
Broadcom,55.0,30.44,2.51,"StrataDNX, Tomahawk, VideoCore",2,9,4,VR/AR,"Automotive, Enterprise",High power efficiency,High prices,Upgraded software development kits
Xilinx,125.94,51.54,13.83,Alveo,3,4,8,FPGA Optimization,Consumer Electronics,Strong developer ecosystem,Inconsistent performance,Expanded cloud gaming services
Sony,88.78,71.42,22.23,PlayStation GPU,4,3,3,5G Integration,"Defense, IoT",Cutting-edge technology,Narrow product range,Integrated 5G with GPUs
Huawei,93.8,22.28,10.48,Ascend AI,10,6,4,Autonomous Vehicles,"Telecommunications, Consumer Electronics, Healthcare",Diverse product applications,Limited AI focus,Introduced AI-focused GPUs
Broadcom,82.34,35.91,21.08,"StrataDNX, Tomahawk, VideoCore",7,8,2,VR/AR,"Mobile, Defense, Education, Media & Entertainment",Wide product portfolio,Complex integration,Enhanced power efficiency technologies
ASRock,37.2,25.84,39.74,"X570 GPU, Phantom Gaming",5,9,3,Autonomous Vehicles,IoT,High power efficiency,Narrow product range,Enhanced power efficiency technologies
Xilinx,89.66,5.82,9.45,"Alveo, Versal",6,10,10,Blockchain Security,"Telecommunications, Cloud, Defense, AI/Compute",Diverse product applications,Supply chain constraints,Launched new RTX 40 series
Broadcom,140.14,23.63,15.96,"VideoCore, Tomahawk",5,9,9,Cloud Gaming,"Cloud, Telecommunications, Gaming",Robust software support,Supply chain constraints,Introduced AI-focused GPUs
Huawei,97.82,30.96,15.47,"Ascend AI, Kirin GPU",5,8,5,Cloud Gaming,IoT,Global market presence,Supply chain constraints,Introduced AI-focused GPUs
Nvidia,63.54,66.67,4.39,Shield,8,5,6,Ray Tracing,"Consumer Electronics, Media & Entertainment, AI/Compute",Cutting-edge technology,Complex integration,Enhanced power efficiency technologies
ASRock,153.88,26.59,2.15,X570 GPU,10,6,3,Energy Efficiency,"Telecommunications, Media & Entertainment, IoT",Innovative R&D,Smaller developer base,Acquired Mellanox
Analog Devices,163.82,9.13,18.71,"SHARC, Blackfin",9,6,2,VR/AR,"Automotive, Education, Financial Services, Consumer Electronics",Strong brand recognition,Complex integration,Introduced AI-focused GPUs
Broadcom,70.48,73.81,2.61,StrataDNX,8,5,2,Mobile Graphics,"Financial Services, Automotive",Leading performance,Limited AI focus,Launched new RTX 40 series
Broadcom,131.86,52.22,35.93,VideoCore,10,9,4,Autonomous Vehicles,"Consumer Electronics, Automotive, AI/Compute, Enterprise",Strong partnerships,Supply chain constraints,Debuted multi-GPU scaling tech
MediaTek,141.22,49.24,15.19,"Dimensity, Mali GPU",1,8,7,VR/AR,"Defense, Cloud, Mobile, AI/Compute",Advanced AI capabilities,Complex integration,Upgraded software development kits
NXP Semiconductors,137.2,26.5,39.42,i.MX GPU,4,5,2,Energy Efficiency,"Media & Entertainment, Healthcare, Mobile",Leading performance,Security vulnerabilities,Debuted multi-GPU scaling tech
Samsung,20.0,7.5,22.74,RDNA,5,10,1,Energy Efficiency,"Enterprise, Automotive, Financial Services",Advanced AI capabilities,Late to market in some segments,Partnered with automotive leaders
Qualcomm,109.08,27.95,16.75,"Adreno, Kryo, Snapdragon GPU",3,2,4,Ray Tracing,"Telecommunications, Financial Services, Cloud, Data Center",Strong brand recognition,Complex integration,Debuted multi-GPU scaling tech
IBM,21.42,32.36,10.11,"PowerAI, Z Series",7,7,3,Neural Networks,"Automotive, Enterprise, Defense, AI/Compute",Wide product portfolio,Smaller developer base,Integrated 5G with GPUs
Marvell,11.54,16.35,11.5,"Alaska, OCTEON",4,10,5,Autonomous Vehicles,"Media & Entertainment, AI/Compute, Defense, Telecommunications",Competitive pricing,Complex integration,Upgraded software development kits
ARM,34.96,24.05,10.16,"Ethos, Mali",5,3,10,AI Acceleration,"Automotive, AI/Compute, IoT, Defense",Strong partnerships,Limited AI focus,Enhanced power efficiency technologies
IBM,85.6,19.37,30.33,"Z Series, PowerAI",8,10,1,Edge Computing,Financial Services,Leading performance,Security vulnerabilities,Integrated 5G with GPUs
Qualcomm,77.22,38.51,19.89,"Snapdragon GPU, Kryo, Adreno",4,8,7,FPGA Optimization,"AI/Compute, Financial Services",Strong developer ecosystem,High prices,Integrated 5G with GPUs
Analog Devices,124.9,36.02,3.03,SHARC,8,9,7,VR/AR,Mobile,Diverse product applications,High prices,Partnered with automotive leaders
Micron,86.14,22.05,21.52,HBM Memory,4,6,6,Mobile Graphics,"Cloud, Mobile, Healthcare, Financial Services",Diverse product applications,Inconsistent performance,Announced new AI research lab
Intel,52.14,62.64,14.84,Xe,3,7,9,Low Latency Streaming,Education,Robust software support,Limited AI focus,Introduced AI-focused GPUs
Xilinx,47.86,62.31,21.37,"Alveo, Versal",8,9,9,VR/AR,"Automotive, Education, Enterprise, Media & Entertainment",Strong brand recognition,Complex integration,Enhanced power efficiency technologies
MediaTek,161.78,26.85,18.16,"Dimensity, Mali GPU",1,1,10,Ray Tracing,"Healthcare, Enterprise",Strong partnerships,Supply chain constraints,Released latest mobile GPU
Analog Devices,103.64,61.48,26.93,Blackfin,4,7,7,Neural Networks,"IoT, Cloud, Consumer Electronics",Innovative R&D,Supply chain constraints,Enhanced power efficiency technologies
Qualcomm,112.68,45.07,25.51,"Kryo, Snapdragon GPU",2,1,5,Mobile Graphics,Cloud,Diverse product applications,Narrow product range,Released latest mobile GPU
Micron,24.02,61.54,9.54,"GDDR, HBM Memory",4,9,6,Edge Computing,Education,Advanced AI capabilities,High power consumption,Announced new AI research lab
Broadcom,153.16,42.89,27.9,StrataDNX,3,7,10,Ray Tracing,Consumer Electronics,Strong developer ecosystem,High power consumption,Partnered with automotive leaders
Huawei,87.5,20.33,13.24,"Kirin GPU, Ascend AI",8,4,9,Mobile Graphics,"Education, Gaming",Leading performance,Narrow product range,Integrated 5G with GPUs
Qualcomm,61.8,65.49,1.3,Adreno,8,5,8,Edge Computing,Consumer Electronics,Strong partnerships,Supply chain constraints,Launched new RTX 40 series
AMD,165.26,3.59,38.4,Vega,8,10,6,High Performance Computing,"Consumer Electronics, Gaming",Competitive pricing,Security vulnerabilities,Integrated 5G with GPUs
Google,16.7,47.22,3.15,Coral Edge TPU,6,6,3,Cloud Gaming,"IoT, AI/Compute, Financial Services, Consumer Electronics",High power efficiency,Complex integration,Partnered with automotive leaders
Google,23.56,31.13,25.38,"TPU, Coral Edge TPU, Tensor",4,10,10,FPGA Optimization,"Media & Entertainment, Mobile, Gaming",Robust software support,Smaller developer base,Released latest mobile GPU
Google,26.08,44.01,21.16,Coral Edge TPU,9,2,2,FPGA Optimization,"Financial Services, Media & Entertainment, AI/Compute",Strong brand recognition,High prices,Released latest mobile GPU
IBM,25.38,32.83,14.65,Z Series,5,5,6,Blockchain Security,"Data Center, Financial Services",Competitive pricing,Late to market in some segments,Introduced AI-focused GPUs
Xilinx,70.1,56.14,3.92,"Alveo, Versal",9,4,5,Mobile Graphics,Financial Services,Leading performance,Smaller developer base,Acquired Mellanox
NXP Semiconductors,72.74,63.32,34.06,"i.MX GPU, Layerscape",6,8,8,Quantum Computing,"Data Center, Defense",Competitive pricing,Narrow product range,Announced new AI research lab
Sony,110.1,15.23,12.48,"Imagination GPU, PlayStation GPU",4,6,4,Ray Tracing,"Telecommunications, Mobile, Media & Entertainment",Cutting-edge technology,Inconsistent performance,Acquired Mellanox
ARM,44.9,55.27,12.89,"Ethos, Mali, Neoverse",7,5,9,Low Latency Streaming,"Healthcare, AI/Compute",Cutting-edge technology,Inconsistent performance,Integrated 5G with GPUs
ASRock,158.08,23.63,6.18,Phantom Gaming,9,7,3,Neural Networks,"Telecommunications, Defense",Wide product portfolio,Software compatibility issues,Acquired Mellanox
Google,116.7,26.83,17.56,"Coral Edge TPU, TPU",5,4,6,Edge Computing,"Defense, Financial Services, IoT",Diverse product applications,Complex integration,Announced new AI research lab
Huawei,158.58,42.92,14.33,"Kirin GPU, Ascend AI",2,7,1,Cloud Gaming,"Cloud, Media & Entertainment, Enterprise, AI/Compute",High power efficiency,Complex integration,Acquired Mellanox
Google,110.06,40.73,36.56,"TPU, Tensor",10,4,6,Autonomous Vehicles,"Education, Healthcare, Automotive, Media & Entertainment",Robust software support,High prices,Integrated 5G with GPUs
Texas Instruments,120.82,57.35,24.31,"TMS320, DSP",3,10,8,Cloud Gaming,"Automotive, Telecommunications, Media & Entertainment",Cutting-edge technology,Late to market in some segments,Expanded cloud gaming services
Google,38.58,65.98,18.87,Tensor,7,7,4,Deep Learning,"Enterprise, Telecommunications, Education, AI/Compute",Advanced AI capabilities,High prices,Released latest mobile GPU
Texas Instruments,84.96,38.3,3.57,"TMS320, DSP",4,1,8,Ray Tracing,"Media & Entertainment, Data Center",Leading performance,Narrow product range,Released latest mobile GPU
Nvidia,125.8,56.49,1.57,Quadro,10,2,3,Mobile Graphics,Financial Services,Robust software support,Security vulnerabilities,Expanded cloud gaming services
NXP Semiconductors,166.32,16.36,35.97,"i.MX GPU, Layerscape",10,6,10,Multi-GPU Scaling,"Data Center, Gaming, Telecommunications",Leading performance,Complex integration,Announced new AI research lab
Sony,165.22,59.82,10.62,"PlayStation GPU, Imagination GPU",7,3,9,Energy Efficiency,"Enterprise, Media & Entertainment",Global market presence,Late to market in some segments,Launched new RTX 40 series
ASRock,126.5,72.32,28.42,"X570 GPU, Phantom Gaming",5,5,1,5G Integration,"Defense, Cloud, Healthcare, Consumer Electronics",Diverse product applications,Limited AI focus,Introduced AI-focused GPUs
Intel,71.78,18.27,23.59,Xe,2,7,10,Autonomous Vehicles,"Mobile, Enterprise, Automotive",Wide product portfolio,Inconsistent performance,Launched new RTX 40 series
Intel,49.16,74.3,37.5,Iris,3,1,9,VR/AR,"IoT, Data Center",Wide product portfolio,Supply chain constraints,Launched new RTX 40 series
AMD,32.9,3.93,33.07,"FirePro, Radeon",5,8,8,Edge Computing,"Data Center, IoT, Media & Entertainment",High power efficiency,Limited AI focus,Released latest mobile GPU
Apple,156.46,22.55,38.8,"M2 GPU, M1 GPU",2,3,7,Quantum Computing,"Cloud, Automotive",Wide product portfolio,Smaller developer base,Announced new AI research lab
ASRock,65.06,36.73,13.14,"Phantom Gaming, X570 GPU",5,9,6,AI Acceleration,"Media & Entertainment, Defense",Global market presence,High prices,Enhanced power efficiency technologies
NXP Semiconductors,112.74,36.2,23.74,"i.MX GPU, Layerscape",5,9,10,Energy Efficiency,"Media & Entertainment, Consumer Electronics",Strong brand recognition,Late to market in some segments,Released latest mobile GPU
Sony,39.42,60.61,26.15,"Imagination GPU, PlayStation GPU",9,7,7,FPGA Optimization,"Telecommunications, Education",Wide product portfolio,Narrow product range,Launched new RTX 40 series
Google,157.62,68.4,15.15,TPU,3,2,2,Deep Learning,Enterprise,High power efficiency,Security vulnerabilities,Expanded cloud gaming services
Marvell,30.98,68.07,37.67,OCTEON,8,2,1,AI Acceleration,"Education, Telecommunications",Leading performance,Security vulnerabilities,Partnered with automotive leaders
Apple,167.98,69.44,3.77,"M2 GPU, A15 GPU",6,10,2,Deep Learning,"Automotive, Healthcare",Competitive pricing,Narrow product range,Debuted multi-GPU scaling tech
ARM,122.12,58.96,15.88,"Mali, Neoverse",8,3,1,Mobile Graphics,Cloud,Global market presence,Inconsistent performance,Launched new RTX 40 series
AMD,9.34,9.31,36.88,Vega,2,6,3,Mobile Graphics,"IoT, AI/Compute",Scalable architectures,Security vulnerabilities,Expanded cloud gaming services
Analog Devices,89.9,51.0,21.09,Blackfin,2,8,3,Neural Networks,Education,Strong partnerships,Inconsistent performance,Enhanced power efficiency technologies
MediaTek,101.18,35.6,10.01,"Mali GPU, Dimensity",9,1,5,Energy Efficiency,Education,Advanced AI capabilities,Complex integration,Expanded cloud gaming services
NXP Semiconductors,73.52,12.59,13.51,"i.MX GPU, Layerscape",6,9,5,Multi-GPU Scaling,"Media & Entertainment, Mobile, Telecommunications",Robust software support,Supply chain constraints,Upgraded software development kits
Sony,157.44,29.94,17.19,"Imagination GPU, PlayStation GPU",8,6,6,FPGA Optimization,"Cloud, Automotive, AI/Compute",Leading performance,Software compatibility issues,Released latest mobile GPU
Qualcomm,13.34,1.79,10.78,Adreno,10,7,1,5G Integration,Gaming,Strong partnerships,Smaller developer base,Integrated 5G with GPUs
Micron,149.54,61.63,22.13,"HBM Memory, GDDR",9,9,3,FPGA Optimization,"Data Center, Mobile, IoT, AI/Compute",Innovative R&D,Security vulnerabilities,Introduced AI-focused GPUs
Nvidia,91.38,71.93,39.93,"DGX, Tesla",1,8,10,Deep Learning,"Enterprise, Education, Media & Entertainment, Automotive",Strong partnerships,Smaller developer base,Upgraded software development kits
Google,25.06,29.1,33.12,"Tensor, Coral Edge TPU, TPU",10,10,7,5G Integration,Gaming,Strong developer ecosystem,Security vulnerabilities,Released latest mobile GPU
Broadcom,62.32,12.22,7.71,"StrataDNX, VideoCore",1,4,8,Low Latency Streaming,"AI/Compute, Enterprise",Strong brand recognition,High prices,Debuted multi-GPU scaling tech
ARM,59.3,33.95,15.4,"Mali, Ethos",1,2,2,Blockchain Security,"Telecommunications, Defense, IoT, Automotive",Diverse product applications,Narrow product range,Announced new AI research lab
Samsung,87.88,6.96,36.89,"RDNA, Exynos GPU, Mali GPU",8,7,10,Energy Efficiency,"Media & Entertainment, Healthcare",Robust software support,Security vulnerabilities,Introduced AI-focused GPUs
ARM,58.94,59.97,15.1,Neoverse,7,6,9,Cloud Gaming,Healthcare,Global market presence,High power consumption,Debuted multi-GPU scaling tech
Qualcomm,34.42,14.07,39.79,Kryo,4,2,6,Energy Efficiency,"Enterprise, Education, IoT, Healthcare",Strong brand recognition,Late to market in some segments,Debuted multi-GPU scaling tech
MediaTek,148.18,46.09,34.49,"Dimensity, Mali GPU",10,5,5,Ray Tracing,"AI/Compute, Media & Entertainment",High power efficiency,Inconsistent performance,Released latest mobile GPU
MediaTek,162.66,11.09,30.21,"Mali GPU, Dimensity",2,10,10,Quantum Computing,"Telecommunications, Cloud",Innovative R&D,Software compatibility issues,Expanded cloud gaming services
Broadcom,75.4,1.34,35.91,"Tomahawk, VideoCore, StrataDNX",10,3,2,High Performance Computing,"Telecommunications, Gaming, Media & Entertainment",Diverse product applications,Complex integration,Released VR-optimized hardware
Xilinx,51.8,51.1,32.67,"Versal, Alveo",3,3,4,FPGA Optimization,"Automotive, Telecommunications, IoT, Education",Scalable architectures,High prices,Debuted multi-GPU scaling tech
Google,12.86,13.73,7.35,TPU,4,1,5,Energy Efficiency,"Data Center, Telecommunications",Innovative R&D,High power consumption,Expanded cloud gaming services
ARM,159.12,41.48,7.22,"Neoverse, Mali",1,10,6,Deep Learning,"Education, Gaming, Mobile",Innovative R&D,Narrow product range,Introduced AI-focused GPUs
Nvidia,73.14,13.75,5.41,Quadro,1,6,2,Neural Networks,"Media & Entertainment, AI/Compute",Diverse product applications,Limited mobile presence,Launched new RTX 40 series
IBM,41.04,58.39,12.16,"Z Series, Watson GPU, PowerAI",1,10,9,Edge Computing,"Data Center, Cloud, AI/Compute",Scalable architectures,Narrow product range,Integrated 5G with GPUs
Texas Instruments,111.4,51.76,16.18,DSP,8,7,2,Neural Networks,Automotive,Wide product portfolio,Security vulnerabilities,Partnered with automotive leaders
Broadcom,161.42,55.21,30.4,"VideoCore, StrataDNX",8,1,6,Blockchain Security,"Consumer Electronics, AI/Compute",Wide product portfolio,Late to market in some segments,Expanded cloud gaming services
Marvell,95.52,30.92,34.16,OCTEON,9,10,3,Autonomous Vehicles,"Education, Financial Services",Wide product portfolio,Narrow product range,Expanded cloud gaming services
Intel,20.78,26.58,25.73,HD Graphics,8,5,5,Neural Networks,"Mobile, Enterprise, Education, IoT",Robust software support,High prices,Integrated 5G with GPUs
Nvidia,116.6,33.1,29.93,"DGX, RTX",9,5,4,Multi-GPU Scaling,"AI/Compute, Financial Services, Mobile, Healthcare",Advanced AI capabilities,Smaller developer base,Integrated 5G with GPUs
Analog Devices,122.38,12.23,23.23,"SHARC, Blackfin",3,7,8,AI Acceleration,Cloud,Strong developer ecosystem,Limited mobile presence,Upgraded software development kits
IBM,100.88,34.91,19.83,"PowerAI, Z Series, Watson GPU",4,4,6,Deep Learning,"Education, Telecommunications, Cloud, Financial Services",High power efficiency,Security vulnerabilities,Debuted multi-GPU scaling tech
ARM,34.32,31.52,19.18,"Neoverse, Mali, Ethos",1,5,9,Deep Learning,"Media & Entertainment, Defense, Mobile, IoT",Scalable architectures,Limited AI focus,Released latest mobile GPU
ASRock,153.3,52.81,7.99,Phantom Gaming,10,8,5,Deep Learning,"Cloud, Mobile",Strong partnerships,Late to market in some segments,Integrated 5G with GPUs
ARM,52.0,49.88,38.89,Neoverse,6,9,6,5G Integration,Healthcare,High power efficiency,Software compatibility issues,Upgraded software development kits
Huawei,71.72,14.51,15.06,"Kirin GPU, Ascend AI",5,7,10,Ray Tracing,"Healthcare, Cloud, Gaming",Leading performance,High prices,Released VR-optimized hardware
Qualcomm,10.2,13.51,39.72,Snapdragon GPU,2,5,7,Deep Learning,"Gaming, Cloud",Strong developer ecosystem,Narrow product range,Upgraded software development kits
ARM,119.42,51.36,6.37,"Neoverse, Mali",5,1,2,Blockchain Security,"Telecommunications, Defense, Healthcare",Global market presence,High prices,Released VR-optimized hardware
Xilinx,119.82,63.89,16.94,"Versal, Alveo",3,6,2,Multi-GPU Scaling,"Data Center, Financial Services, Healthcare",Advanced AI capabilities,Smaller developer base,Enhanced power efficiency technologies
Qualcomm,58.64,12.2,2.59,Kryo,2,9,6,AI Acceleration,"Cloud, Automotive",Global market presence,Narrow product range,Released VR-optimized hardware
Micron,110.18,69.99,15.54,HBM Memory,9,2,2,Edge Computing,"Data Center, Financial Services, Media & Entertainment",Wide product portfolio,High prices,Released latest mobile GPU
Samsung,161.92,40.11,6.68,"RDNA, Exynos GPU, Mali GPU",6,4,4,Mobile Graphics,Cloud,Diverse product applications,Supply chain constraints,Enhanced power efficiency technologies
NXP Semiconductors,16.32,45.12,3.33,"Layerscape, i.MX GPU",7,8,10,Quantum Computing,"Financial Services, Data Center, AI/Compute",Leading performance,High power consumption,Expanded cloud gaming services
Marvell,107.3,29.45,18.41,"OCTEON, Alaska",6,1,1,Quantum Computing,"Consumer Electronics, AI/Compute, Enterprise, Gaming",Leading performance,Limited AI focus,Expanded cloud gaming services
Nvidia,51.28,37.02,23.61,Quadro,9,8,8,Energy Efficiency,"Media & Entertainment, Consumer Electronics, Data Center",Strong developer ecosystem,Complex integration,Upgraded software development kits
Nvidia,99.52,65.46,3.34,"Jetson, Shield, TITAN",5,3,7,Multi-GPU Scaling,Telecommunications,Global market presence,Narrow product range,Introduced AI-focused GPUs
ARM,35.56,3.39,25.2,"Ethos, Neoverse",8,9,8,Cloud Gaming,"Healthcare, Cloud, Media & Entertainment, Gaming",Strong brand recognition,Narrow product range,Introduced AI-focused GPUs
MediaTek,113.18,21.29,34.62,"Mali GPU, Dimensity",6,6,4,Blockchain Security,"Defense, Healthcare",Competitive pricing,High power consumption,Introduced AI-focused GPUs
AMD,160.84,12.15,39.47,"Radeon, Ryzen Graphics, FirePro",9,3,3,5G Integration,"AI/Compute, Mobile, Healthcare",Scalable architectures,Inconsistent performance,Launched new RTX 40 series
Apple,104.5,37.19,39.88,"M2 GPU, M1 GPU",8,5,8,Deep Learning,"AI/Compute, Cloud",Cutting-edge technology,Late to market in some segments,Launched new RTX 40 series
ASRock,24.44,22.96,8.01,Phantom Gaming,8,4,1,FPGA Optimization,"Cloud, Gaming, Consumer Electronics, Media & Entertainment",Advanced AI capabilities,Limited AI focus,Introduced AI-focused GPUs
Samsung,2.82,14.39,7.93,"Exynos GPU, RDNA, Mali GPU",6,1,9,VR/AR,"Mobile, Healthcare",Competitive pricing,Limited AI focus,Expanded cloud gaming services
Texas Instruments,72.98,21.66,35.89,"TMS320, DSP",1,5,2,VR/AR,"AI/Compute, Healthcare, Education, Gaming",Strong brand recognition,Inconsistent performance,Launched new RTX 40 series
Qualcomm,82.68,36.81,11.45,"Snapdragon GPU, Adreno",9,5,5,Energy Efficiency,"Data Center, Gaming, Automotive, Telecommunications",Strong developer ecosystem,Narrow product range,Partnered with automotive leaders
MediaTek,113.64,17.56,12.63,"Dimensity, Mali GPU",4,6,7,Blockchain Security,"Consumer Electronics, Media & Entertainment",Strong developer ecosystem,Limited mobile presence,Upgraded software development kits
Sony,139.72,73.81,30.17,"Imagination GPU, PlayStation GPU",10,10,10,5G Integration,"AI/Compute, Healthcare, Cloud",Global market presence,Narrow product range,Acquired Mellanox
Samsung,163.52,46.17,15.27,Exynos GPU,7,5,4,Energy Efficiency,Telecommunications,Cutting-edge technology,Software compatibility issues,Announced new AI research lab
ARM,38.68,14.28,1.92,Ethos,6,7,6,Deep Learning,"Defense, Enterprise, Media & Entertainment",Diverse product applications,Software compatibility issues,Launched new RTX 40 series
Xilinx,52.78,66.34,34.7,"Alveo, Versal",4,2,5,5G Integration,"IoT, Defense",Robust software support,High prices,Integrated 5G with GPUs
ASRock,111.66,46.93,0.99,"Phantom Gaming, X570 GPU",7,10,8,Ray Tracing,"Enterprise, Gaming",Innovative R&D,Smaller developer base,Upgraded software development kits
Xilinx,165.56,8.18,15.06,"Versal, Alveo",8,7,10,High Performance Computing,Defense,Strong partnerships,Limited mobile presence,Introduced AI-focused GPUs
Marvell,8.52,54.61,11.91,"Alaska, OCTEON",1,6,6,Cloud Gaming,"Defense, Cloud",Strong partnerships,Supply chain constraints,Released latest mobile GPU
Samsung,91.38,72.29,6.95,"RDNA, Mali GPU",7,8,10,Ray Tracing,"Data Center, Defense",Strong developer ecosystem,Late to market in some segments,Partnered with automotive leaders
Broadcom,86.88,15.75,25.39,"StrataDNX, Tomahawk, VideoCore",5,6,3,Multi-GPU Scaling,"Defense, AI/Compute, Consumer Electronics",Innovative R&D,High power consumption,Launched new RTX 40 series
Apple,151.42,51.51,14.77,"M1 GPU, A14 GPU",7,7,9,Edge Computing,"Gaming, Education, AI/Compute, Consumer Electronics",High power efficiency,Complex integration,Upgraded software development kits
AMD,6.74,73.33,1.37,"Vega, Instinct, Radeon",10,3,1,AI Acceleration,"Telecommunications, Data Center",Advanced AI capabilities,Limited mobile presence,Acquired Mellanox
Marvell,87.18,40.03,12.65,OCTEON,10,10,8,Deep Learning,"Data Center, AI/Compute, Education",Global market presence,Narrow product range,Expanded cloud gaming services
Analog Devices,45.36,26.17,25.07,"SHARC, Blackfin",6,4,3,Neural Networks,"Mobile, IoT, Education, Gaming",High power efficiency,Supply chain constraints,Introduced AI-focused GPUs
NXP Semiconductors,17.12,10.97,38.33,Layerscape,5,4,9,High Performance Computing,"Cloud, Data Center, Financial Services",Strong developer ecosystem,Supply chain constraints,Upgraded software development kits
Nvidia,157.96,42.96,36.0,"Quadro, RTX",8,4,4,High Performance Computing,"Gaming, Media & Entertainment, Defense, Enterprise",High power efficiency,Limited mobile presence,Introduced AI-focused GPUs
ARM,120.96,0.99,25.82,Mali,3,5,2,Low Latency Streaming,Data Center,Cutting-edge technology,Supply chain constraints,Introduced AI-focused GPUs
IBM,160.26,3.07,1.92,PowerAI,2,7,3,Energy Efficiency,"AI/Compute, Mobile",Wide product portfolio,Inconsistent performance,Introduced AI-focused GPUs
Intel,124.56,3.54,39.77,"Arc, Iris",8,9,9,Mobile Graphics,"Consumer Electronics, AI/Compute, Media & Entertainment",Competitive pricing,Late to market in some segments,Expanded cloud gaming services
AMD,107.42,45.98,25.12,"Radeon, Instinct",5,9,4,Edge Computing,"Enterprise, Defense, Consumer Electronics, AI/Compute",Strong partnerships,Inconsistent performance,Enhanced power efficiency technologies
Texas Instruments,48.4,45.59,1.34,"DSP, TMS320",9,6,1,Autonomous Vehicles,"Mobile, AI/Compute, Cloud, Defense",Cutting-edge technology,High prices,Released VR-optimized hardware
Huawei,134.72,26.68,2.14,Ascend AI,1,5,7,Mobile Graphics,"Financial Services, Consumer Electronics",Global market presence,Narrow product range,Expanded cloud gaming services
NXP Semiconductors,115.12,11.07,25.33,"Layerscape, i.MX GPU",6,4,3,Edge Computing,"Enterprise, Mobile",Global market presence,Software compatibility issues,Launched new RTX 40 series
Broadcom,158.32,15.06,19.62,"Tomahawk, StrataDNX, VideoCore",9,3,10,Blockchain Security,Telecommunications,Wide product portfolio,Security vulnerabilities,Acquired Mellanox
ASRock,76.26,6.59,10.95,X570 GPU,8,3,10,Low Latency Streaming,Education,Robust software support,Software compatibility issues,Upgraded software development kits
Analog Devices,14.12,26.79,15.12,"SHARC, Blackfin",6,9,4,Deep Learning,Education,Strong developer ecosystem,Complex integration,Upgraded software development kits
Google,69.68,52.89,6.75,"Coral Edge TPU, Tensor",3,3,1,Cloud Gaming,"Data Center, Healthcare, Consumer Electronics, Mobile",Global market presence,Security vulnerabilities,Integrated 5G with GPUs
Analog Devices,21.84,19.57,18.72,Blackfin,2,8,1,Quantum Computing,"Financial Services, Gaming",Leading performance,Supply chain constraints,Introduced AI-focused GPUs
Samsung,33.38,40.01,4.45,Exynos GPU,9,8,4,Neural Networks,"Consumer Electronics, Education, IoT, Cloud",Strong brand recognition,Limited AI focus,Introduced AI-focused GPUs
Qualcomm,93.7,26.09,5.66,"Adreno, Snapdragon GPU",8,5,1,FPGA Optimization,Mobile,Strong partnerships,Late to market in some segments,Upgraded software development kits
NXP Semiconductors,125.76,39.25,37.56,"i.MX GPU, Layerscape",10,3,2,High Performance Computing,"Gaming, Defense, Media & Entertainment, Mobile",Leading performance,Complex integration,Released VR-optimized hardware
Marvell,93.96,20.18,29.16,OCTEON,2,10,5,Neural Networks,"Media & Entertainment, Education, Consumer Electronics, Defense",Strong brand recognition,Limited AI focus,Released latest mobile GPU
Micron,148.0,53.85,12.13,"GDDR, HBM Memory",7,6,7,Neural Networks,"Cloud, Mobile",Strong partnerships,Smaller developer base,Released latest mobile GPU
Marvell,140.66,29.58,8.43,"OCTEON, Alaska",1,4,3,Blockchain Security,Cloud,Advanced AI capabilities,Limited mobile presence,Released latest mobile GPU
MediaTek,116.64,10.96,24.98,"Mali GPU, Dimensity",8,5,9,Neural Networks,"Cloud, Mobile, Financial Services",Diverse product applications,Security vulnerabilities,Partnered with automotive leaders
Micron,19.04,47.8,26.86,"HBM Memory, GDDR",3,4,5,Edge Computing,"Telecommunications, Cloud, Healthcare",Robust software support,High power consumption,Released VR-optimized hardware
